Postcode,1-room,2-room,3-room,4-room,5-room,Executive,HUDC,Multi-generation,Studio Apartment,Type S1,Type S2,X,Y,Latitude,Longitude
360021,0,0,0,0,0,58,0,0,0,0,0,33259.90541,35128.16729,1.333960732,103.8805818
360081,0,117,11,2,0,0,0,0,0,0,0,33895.91236,34930.10183,1.332169382,103.8862967
360082,0,13,80,1,0,0,0,0,0,0,0,33820.61621,34942.69949,1.332283325,103.8856201
360083,0,13,78,2,0,0,0,0,0,0,0,33809.24259,34861.59585,1.331549855,103.8855179
370012,0,119,0,0,0,0,0,0,0,0,0,33680.58093,34439.30905,1.327730869,103.8843617
370013,0,120,0,0,0,0,0,0,0,0,0,33611.85072,34444.88087,1.327781271,103.8837441
370014,0,120,0,0,0,0,0,0,0,0,0,33541.76999,34450.15419,1.327828974,103.8831144
370019,0,0,120,0,0,0,0,0,0,0,0,34019.84913,34847.64264,1.331423626,103.8874103
370020,0,0,120,0,0,0,0,0,0,0,0,34030.69726,34782.10801,1.330830952,103.8875078
370021,0,0,120,0,0,0,0,0,0,0,0,33971.59221,34822.60606,1.331197214,103.8869767
370022,0,0,120,0,0,0,0,0,0,0,0,34061.5828,34708.60318,1.330166195,103.8877853
370023,0,0,120,0,0,0,0,0,0,0,0,33923.04261,34797.58772,1.330970967,103.8865404
370024,0,0,120,0,0,0,0,0,0,0,0,34030.79972,34711.07114,1.33018852,103.8875087
370027,0,0,0,53,36,0,0,0,0,0,0,33897.20138,34724.29247,1.330308116,103.8863082
370028,0,0,0,53,36,0,0,0,0,0,0,33927.35895,34743.40567,1.330480963,103.8865792
370029,0,0,0,53,36,0,0,0,0,0,0,33979.52951,34689.99439,1.32999792,103.887048
370030,0,27,83,5,0,0,0,0,0,0,0,33994.62382,34652.0338,1.329654615,103.8871836
370031,0,0,26,150,0,0,0,0,0,0,0,33797.01693,34655.09341,1.329682323,103.885408
370032,0,30,86,2,0,0,0,0,0,0,0,33971.68895,34623.13893,1.329393305,103.8869775
370033,0,0,0,47,47,0,0,0,0,0,0,33888.40505,34664.42019,1.329766654,103.8862292
370034,0,0,120,0,0,0,0,0,0,0,0,34022.94333,34584.47342,1.329043618,103.8874381
370035,0,0,112,28,0,0,0,0,0,0,0,33864.05049,34597.22805,1.329158997,103.8860103
370036,0,0,112,28,0,0,0,0,0,0,0,33966.49097,34582.53288,1.329026079,103.8869308
370037,0,452,117,1,0,0,0,0,0,0,0,33916.7904,34488.38986,1.328174693,103.8864842
370038,0,0,120,0,0,0,0,0,0,0,0,33871.85709,34464.35699,1.327957357,103.8860804
370039,0,29,87,2,0,0,0,0,0,0,0,33827.46779,34406.038,1.32742995,103.8856816
370040,0,30,84,3,0,0,0,0,0,0,0,33892.35926,34433.35243,1.327676959,103.8862647
370041,0,0,0,5,39,0,0,0,0,0,0,33892.66811,34381.24144,1.327205686,103.8862674
370042,0,0,0,45,37,0,0,0,0,0,0,33895.57608,34341.8275,1.32684924,103.8862935
370043,0,28,88,2,0,0,0,0,0,0,0,33812.26085,34301.24951,1.326482283,103.8855449
370044,0,28,82,5,0,0,0,0,0,0,0,33876.14773,34320.30263,1.32665458,103.886119
370045,0,30,88,1,0,0,0,0,0,0,0,33871.51582,34290.81369,1.326387894,103.8860773
370046,0,29,83,4,0,0,0,0,0,0,0,33868.14278,34265.02769,1.326154695,103.886047
370047,0,0,112,4,0,0,0,0,0,0,0,33829.92806,34223.07215,1.325775271,103.8857036
370048,0,0,116,2,0,0,0,0,0,0,0,33824.06936,34182.71806,1.325410325,103.885651
370049,0,0,118,1,0,0,0,0,0,0,0,33819.59273,34151.98679,1.325132403,103.8856108
370050,0,0,112,4,0,0,0,0,0,0,0,33815.21198,34124.57299,1.324884483,103.8855714
370051,0,84,16,0,0,0,0,0,0,0,0,33808.89042,34084.32014,1.324520452,103.8855146
370052,0,100,20,0,0,0,0,0,0,0,0,33803.58723,34049.82754,1.324208514,103.8854669
370053,0,0,0,0,0,124,0,0,0,0,0,33940.00739,34026.00618,1.323993056,103.8866927
370054,0,0,0,222,0,0,0,0,0,0,0,34039.3487,34010.90312,1.32385645,103.8875854
370055,0,0,0,97,15,0,0,0,0,0,0,34127.60978,33997.89107,1.323738756,103.8883784
370056,0,0,0,0,68,0,0,0,0,0,0,34141.04746,34037.62739,1.324098114,103.8884992
370057,0,0,112,4,0,0,0,0,0,0,0,33939.22466,34106.73262,1.324723117,103.8866857
370058,0,0,112,4,0,0,0,0,0,0,0,33913.65911,34138.96962,1.325014662,103.886456
370059,0,0,116,2,0,0,0,0,0,0,0,33947.21974,34164.85713,1.325248773,103.8867576
370060,0,0,118,1,0,0,0,0,0,0,0,33922.20352,34198.44512,1.325552536,103.8865328
370061,0,0,116,2,0,0,0,0,0,0,0,33980.24674,34218.89087,1.325737428,103.8870543
370062,0,29,87,2,0,0,0,0,0,0,0,33987.2252,34272.50122,1.32622226,103.887117
370063,0,30,88,1,0,0,0,0,0,0,0,33933.4268,34306.82121,1.326532648,103.8866336
370064,0,0,100,4,0,0,0,0,0,0,0,33990.7165,34356.73563,1.326984045,103.8871484
370065,0,0,104,2,0,0,0,0,0,0,0,33996.8563,34402.76424,1.32740031,103.8872036
370066,0,29,87,2,0,0,0,0,0,0,0,34049.07668,34307.18128,1.326535882,103.8876728
370067,0,0,110,5,0,0,0,0,0,0,0,34077.31186,34231.18316,1.325848576,103.8879265
370068,0,100,20,0,0,0,0,0,0,0,0,34094.10757,34189.10258,1.325468011,103.8880774
370069,0,0,110,5,0,0,0,0,0,0,0,34025.56212,34139.9264,1.325023293,103.8874615
370070,0,100,20,0,0,0,0,0,0,0,0,34089.93991,34159.01529,1.325195913,103.88804
370071,0,84,16,0,0,0,0,0,0,0,0,34085.13814,34127.95807,1.324915044,103.8879968
370072,0,84,16,0,0,0,0,0,0,0,0,34079.24841,34087.32908,1.324547611,103.8879439
370085,0,0,100,0,0,0,0,0,0,0,0,33835.68052,33877.76219,1.322652411,103.8857553
370087,0,0,76,0,2,0,0,0,0,0,0,33818.91245,33941.97212,1.323233105,103.8856046
370090,274,0,0,0,0,0,0,0,0,0,0,33920.93466,33958.17868,1.323379652,103.8865213
370091,0,0,138,0,3,0,0,0,0,0,0,33945.04099,33880.9436,1.322681161,103.8867379
370092,0,0,0,51,30,0,0,0,0,0,0,34013.22764,33937.73402,1.32319474,103.8873506
370093,0,0,142,0,1,0,0,0,0,0,0,34096.98239,33886.87464,1.322734769,103.8881032
370094,220,0,0,0,0,0,0,0,0,0,0,34136.33498,33937.80195,1.32319533,103.8884568
371017,0,0,0,72,0,0,0,0,0,0,0,34098.04534,34678.28719,1.329892021,103.8881129
371018,0,0,52,52,0,0,0,0,0,0,0,34093.46649,34615.12702,1.329320824,103.8880717
371092,0,0,0,51,30,0,0,0,0,0,0,34044.95824,33916.73192,1.323004798,103.8876357
372017,0,0,0,108,0,0,0,0,0,0,0,34217.813,34683.59777,1.329940023,103.8891891
372018,0,0,52,68,0,0,0,0,0,0,0,34113.13091,34599.67213,1.329181051,103.8882484
373018,0,0,54,72,0,0,0,0,0,0,0,34173.68864,34612.48447,1.329296909,103.8887926
374018,0,0,53,54,0,0,0,0,0,0,0,34218.69298,34624.36547,1.329404348,103.889197
380011,0,0,276,0,5,0,0,0,0,0,0,32184.01334,32947.46127,1.31423937,103.870914
380012,0,0,130,0,1,0,0,0,0,0,0,32089.09555,32946.49706,1.314230663,103.8700611
380013,0,0,0,60,57,0,0,0,0,0,0,32133.26205,32974.18939,1.314481097,103.870458
380014,0,0,0,30,57,0,0,0,0,0,0,32116.08445,33037.56053,1.315054205,103.8703037
380015,0,0,0,210,0,0,0,0,0,0,0,32226.54065,33128.12787,1.315873249,103.8712962
380016,0,0,266,0,7,0,0,0,0,0,0,32266.0927,33079.31067,1.315431758,103.8716516
380019,0,360,0,0,0,0,0,0,0,0,0,32479.56053,33038.94162,1.315066644,103.8735697
380038,0,0,0,0,96,0,0,0,0,0,0,32552.2434,33367.81092,1.318040811,103.8742228
380039,0,0,0,0,96,0,0,0,0,0,0,32552.65372,33443.30811,1.318723581,103.8742265
380040,0,0,0,70,51,0,0,0,0,0,0,32789.43019,33305.36435,1.31747603,103.8763541
380041,0,0,236,0,2,0,0,0,0,0,0,32700.0887,33236.72885,1.316855329,103.8755513
380042,0,0,0,66,0,0,0,0,0,0,0,32749.43075,33252.74833,1.317000196,103.8759946
380043,0,0,0,57,20,0,0,0,0,0,0,32814.8974,33270.48437,1.317160584,103.8765829
380044,0,0,0,240,0,0,0,0,0,0,0,32848.09369,33168.16188,1.316235211,103.8768812
380045,0,0,182,0,0,0,0,0,0,0,0,33021.87305,33290.019,1.317337215,103.8784427
380050,0,0,0,0,96,0,0,0,0,0,0,33015.32467,33197.38762,1.316499491,103.8783838
380051,0,0,0,0,96,0,0,0,0,0,0,33072.65807,33174.48087,1.316292321,103.878899
380052,0,0,160,0,4,0,0,0,0,0,0,33238.65154,33215.74236,1.316665447,103.8803905
380053,0,0,151,0,3,0,0,0,0,0,0,33203.8218,33343.82055,1.317823747,103.8800776
380055,352,0,0,0,0,0,0,0,0,0,0,33029.51829,33455.89466,1.318837334,103.8785114
380063,0,78,142,0,0,0,0,0,118,0,0,33144.62417,33207.95959,1.316595079,103.8795456
380095,0,0,188,0,5,0,0,0,0,0,0,33884.69822,33772.81434,1.32170329,103.8861957
380096,0,144,0,0,0,0,0,0,0,0,0,33798.74538,33767.63846,1.321656498,103.8854234
380097,0,0,150,0,2,0,0,0,0,0,0,33826.42124,33728.35337,1.321301212,103.885672
380098,0,0,146,0,4,0,0,0,0,0,0,33829.24171,33680.14758,1.320865256,103.8856974
380099,0,0,132,22,0,0,0,0,0,0,0,33674.42672,33737.19295,1.321381183,103.8843063
380100,198,0,0,0,0,0,0,0,0,0,0,33654.74182,33690.51107,1.320959012,103.8841294
380101,0,0,128,22,1,1,0,0,0,0,0,33568.53212,33686.13631,1.320919464,103.8833548
380102,0,0,124,22,3,1,0,0,0,0,0,33464.5523,33633.01028,1.32043903,103.8824204
380103,0,154,0,0,0,0,0,0,0,0,0,33559.13609,33641.62503,1.320516922,103.8832703
380104,0,0,0,88,0,0,0,0,0,0,0,33508.81082,33592.08028,1.320068866,103.8828181
380105,0,0,0,12,76,0,0,0,0,0,0,33501.39813,33525.7081,1.319468621,103.8827515
380106,0,0,168,22,4,0,0,0,0,0,0,33518.0286,33479.96676,1.31905495,103.8829009
380107,0,0,0,88,0,0,0,0,0,0,0,33672.31365,33469.98538,1.318964653,103.8842872
380108,0,0,128,22,2,0,0,0,0,0,0,33787.42594,33493.26367,1.319175152,103.8853216
380109,0,62,132,2,0,0,0,0,0,0,0,33689.29883,33517.34103,1.319392918,103.8844399
380110,0,0,0,16,94,0,0,0,0,0,0,33689.23518,33581.89792,1.319976747,103.8844393
380111,0,0,106,22,1,1,0,0,0,0,0,33667.81368,33628.39735,1.320397276,103.8842468
380112,0,0,106,22,1,1,0,0,0,0,0,33762.61857,33630.69614,1.320418047,103.8850987
380113,0,0,3,0,0,0,0,0,0,0,0,33880.652,33642.63099,1.320525959,103.8861593
380115,0,0,3,0,0,0,0,0,0,0,0,34005.11434,33730.42137,1.32131988,103.8872777
380116,0,0,3,0,0,0,0,0,0,0,0,33940.89309,33722.21814,1.321245705,103.8867006
380119,0,0,3,0,0,0,0,0,0,0,0,33869.38861,33598.72295,1.320128873,103.8860581
380120,0,0,0,110,0,0,0,0,0,0,0,33724.07496,33386.70995,1.318211531,103.8847523
380122,0,0,0,110,0,0,0,0,0,0,0,33748.47208,33327.88152,1.317679503,103.8849715
380123,0,0,0,0,80,0,0,0,0,0,0,33799.02866,33382.93214,1.318177351,103.8854258
380124,0,0,61,91,57,2,0,0,0,0,0,33938.12354,33406.29806,1.318388638,103.8866757
380125,0,0,0,0,76,0,0,0,0,0,0,33390.18363,33946.04994,1.323270062,103.8817522
380126,0,0,0,0,76,0,0,0,0,0,0,33431.16076,33985.44651,1.323626344,103.8821205
380127,0,0,0,48,0,0,0,0,0,0,0,34058.79437,33333.37788,1.31772915,103.8877599
380128,0,0,41,41,57,0,0,0,0,0,0,34058.13165,33397.51629,1.318309195,103.887754
380129,0,0,0,6,6,0,0,0,0,0,0,34108.59567,33242.13027,1.316903929,103.8882074
380130,0,0,0,0,0,85,0,0,0,0,0,34060.2324,33229.02553,1.316785424,103.8877728
380131,0,0,0,0,0,40,0,0,0,0,0,33953.21483,33225.57316,1.316754223,103.8868112
380132,0,0,0,0,0,93,0,0,0,0,0,33856.42299,33180.753,1.316348904,103.8859415
380133,0,0,0,0,0,94,0,0,0,0,0,33803.05651,33190.77279,1.31643953,103.885462
380134,0,0,0,18,6,0,0,0,0,0,0,33863.88011,33141.63075,1.315995095,103.8860085
381002,0,0,0,132,50,0,0,0,0,0,0,32294.10959,32892.07271,1.313738441,103.8719033
381003,0,0,0,127,48,0,0,0,0,0,0,32347.24806,32901.99077,1.313828129,103.8723808
381005,0,0,192,48,0,0,0,0,0,0,0,32470.59428,32840.87042,1.31327536,103.8734891
381008,0,0,81,162,27,0,0,0,0,0,0,32054.46126,32801.89945,1.312922978,103.8697499
381014,0,0,0,60,57,0,0,0,0,0,0,32158.95826,33060.70827,1.315263539,103.8706889
381042,0,0,0,15,9,0,0,0,0,0,0,32760.87429,33216.11281,1.316668875,103.8760975
381043,0,0,0,19,9,0,0,0,0,0,0,32821.21215,33232.69658,1.316818844,103.8766396
381111,0,0,0,12,6,0,0,0,0,0,0,32499.39254,32738.3287,1.312348005,103.8737478
381112,0,0,0,50,0,0,0,0,0,0,0,32503.3795,32711.81621,1.312108235,103.8737837
381113,0,0,0,86,0,0,0,0,0,0,0,32511.03999,32677.49526,1.311797847,103.8738525
381114,0,0,0,38,25,0,0,0,0,0,0,32530.99785,32644.44894,1.311498985,103.8740318
381120,0,0,0,0,80,0,0,0,0,0,0,33673.29128,33871.31693,1.322594152,103.8842961
381121,0,0,36,316,2,0,0,0,0,0,0,33513.5081,33797.32403,1.321925016,103.8828604
381122,0,0,0,132,0,0,0,0,0,0,0,33469.3075,33872.00089,1.322600375,103.8824632
381123,0,0,0,0,80,0,0,0,0,0,0,33555.22404,33889.21681,1.322756054,103.8832352
381124,0,0,0,0,80,0,0,0,0,0,0,33611.30072,33926.0076,1.323088767,103.8837391
381125,0,0,66,66,57,0,0,0,0,0,0,33904.52269,33301.83062,1.317443878,103.8863737
381126,0,0,45,45,0,0,0,0,0,0,0,33988.71554,33314.34032,1.317556995,103.8871303
382002,0,0,0,110,54,0,0,0,0,0,0,32260.8429,32878.33734,1.313614227,103.8716044
382003,0,0,0,96,46,0,0,0,0,0,0,32397.04595,32954.02864,1.314298734,103.8728282
382008,0,0,87,145,58,0,0,0,0,0,0,32088.06629,32750.01398,1.31245374,103.8700519
383002,0,0,0,137,54,0,0,0,0,0,0,32275.60438,32824.5696,1.313127969,103.871737
383003,0,0,0,125,48,0,0,0,0,0,0,32426.60936,32898.12843,1.313793188,103.8730939
383008,0,66,0,124,25,0,0,0,33,0,0,32173.92133,32828.90872,1.313167225,103.8708233
384002,0,0,0,132,50,0,0,0,0,0,0,32347.1825,32819.18656,1.313079277,103.8723802
384003,0,0,0,127,48,0,0,0,0,0,0,32398.09513,32843.35482,1.313297839,103.8728376
390001,0,0,0,100,56,0,0,0,0,0,0,33550.46619,32243.25487,1.307870562,103.8831922
390009,0,0,0,55,22,0,0,0,0,0,0,33466.47826,32420.05522,1.309469497,103.8824375
390013,0,0,14,0,0,0,0,0,0,0,0,33593.96134,32155.19335,1.307074157,103.883583
390014,0,28,28,0,0,0,0,0,0,0,0,33704.08713,32129.1535,1.306838642,103.8845725
390021,0,0,14,0,0,0,0,0,0,0,0,33686.3392,32211.80759,1.307586139,103.884413
390022,0,28,28,0,0,0,0,0,0,0,0,33767.95119,32159.63406,1.307114286,103.8851464
390032,0,0,54,77,1,0,0,0,0,0,0,33629.24948,32414.15093,1.309416071,103.8839001
390034,0,0,69,45,0,0,0,0,0,0,0,33692.87148,32438.99986,1.309640784,103.8844718
390036,0,0,94,0,1,0,0,0,0,0,0,33759.69696,32458.87424,1.309820509,103.8850722
390039,0,0,0,36,34,0,0,0,0,0,0,33761.93367,32237.7349,1.307820603,103.8850923
